ano;leilao;lote;descricao;orgao_de_origem;status;valor_lance_inicial;valor_lance_final;status_do_pagamento;material;placa
2019;1;1;Nro.Patr. : 015700542 Nro.Placa : HMG9316 Situacao : Indefinido Tipo : MOTOCICLETA Especie : PASSAGEIRO Marca/Modelo: HONDA/CG 150 TITAN E Ano/Modelo : 2006 / 2007 Combustivel : GASOLINA;1400;Arrematado;700;3800,0;Pagamento Confirmado;Automóvel;HMG9316
2019;1;2;Nro.Patr. : 013839861 Nro.Placa : HMG1076 Situacao : Bom Tipo : MOTOCICLETA Especie : PASSAGEIRO Marca/Modelo: HONDA/CG 125 TITAN E Ano/Modelo : 2002 / 2002 Combustivel : GASOLINA;1400;Arrematado;700;2500,0;Pagamento Confirmado;Automóvel;HMG1076
2019;1;3;Nro.Patr. : 015700550 Nro.Placa : HMG9312 Situacao : Pessimo Tipo : MOTOCICLETA Especie : PASSAGEIRO Marca/Modelo: HONDA/CG 150 TITAN E Ano/Modelo : 2007 / 2007 Combustivel : GASOLINA;1400;Arrematado;700;3800,0;Pagamento Confirmado;Automóvel;HMG9312
2019;1;4;Nro.Patr. : 013948067 Nro.Placa : HMG9626 Situacao : Bom Tipo : MOTOCICLETA Especie : PASSAGEIRO Marca/Modelo: HONDA/NX-4 FALCON Ano/Modelo : 2007 / 2007 Combustivel : GASOLINA;1400;Arrematado;1000;6900,0;Pagamento Confirmado;Automóvel;HMG9626
2019;1;5;Nro.Patr. : 013840436 Nro.Placa : HMG1074 Situacao : Pessimo Tipo : MOTOCICLETA Especie : PASSAGEIRO Marca/Modelo: HONDA/CG 125 TITAN E Ano/Modelo : 2002 / 2002 Combustivel : GASOLINA;1400;Arrematado;500;2900,0;Pagamento Confirmado;Automóvel;HMG1074
2019;1;6;Nro.Patr. : 013948075 Nro.Placa : HMG9624 Situacao : Pessimo Tipo : MOTOCICLETA Especie : PASSAGEIRO Marca/Modelo: HONDA/NX-4 FALCON Ano/Modelo : 2007 / 2007 Combustivel : GASOLINA;1400;Arrematado;1000;6700,0;Pagamento Confirmado;Automóvel;HMG9624
2019;1;7;Nro.Patr. : 027608166 Nro.Placa : HMG3519 Situacao : Pessimo Tipo : AUTOMOVEL Especie : PASSAGEIRO Marca/Modelo: FIAT/UNO MILLE FIRE Ano/Modelo : 2004 / 2005 Combustivel : GASOLINA;2100;Arrematado;2000;6800,0;Pagamento Confirmado;Automóvel;HMG3519
2019;1;8;Nro.Patr. : 027643387 Nro.Placa : HMH0516 Situacao : Pessimo Tipo : AUTOMOVEL Especie : PASSAGEIRO Marca/Modelo: FIAT/UNO MILLE FIRE Ano/Modelo : 2007 / 2007 Combustivel : ALC/GASO;2100;Arrematado;2000;7800,0;Pagamento Confirmado;Automóvel;HMH0516
2019;1;9;Nro.Patr. : 027643301 Nro.Placa : HMH0556 Situacao : Bom Tipo : AUTOMOVEL Especie : PASSAGEIRO Marca/Modelo: FIAT/UNO MILLE FIRE Ano/Modelo : 2007 / 2007 Combustivel : ALC/GASO;2100;Arrematado;500;500,0;DAE não paga - processo punitivo;Automóvel;HMH0556
2019;1;10;Nro.Patr. : 013954814 Nro.Placa : HMH1998 Situacao : Sucata Tipo : AUTOMOVEL Especie : PASSAGEIRO Marca/Modelo: FIAT/UNO MILLE FIRE Ano/Modelo : 2008 / 2008 Combustivel : ALC/GASO;1400;Arrematado;3000;8900,0;Pagamento Confirmado;Automóvel;HMH1998
2019;1;11;Nro.Patr. : 029550548 Nro.Placa : HMH1669 Situacao : Bom Tipo : AUTOMOVEL Especie : PASSAGEIRO Marca/Modelo: GM/CORSA HATCH MAXX Ano/Modelo : 2008 / 2008 Combustivel : ALC/GASO;1510;Lote Suspenso;3000;0,0;Lote Suspenso;Automóvel;HMH1669
2019;1;12;Nro.Patr. : 030302544 Nro.Placa : HMH8695 Situacao : Bom Tipo : AUTOMOVEL Especie : PASSAGEIRO Marca/Modelo: I/FORD FOCUS 2.0L FC Ano/Modelo : 2009 / 2009 Combustivel : GASOLINA;1070;Arrematado;6000;16400,0;Pagamento Confirmado;Automóvel;HMH8695
2019;1;13;Nro.Patr. : 030303265 Nro.Placa : HNH1934 Situacao : Pessimo Tipo : AUTOMOVEL Especie : PASSAGEIRO Marca/Modelo: I/FORD FOCUS 2L FC F Ano/Modelo : 2011 / 2012 Combustivel : ALC/GASO;1070;Arrematado;3000;13600,0;Pagamento Confirmado;Automóvel;HNH1934
